,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_gtc,-0.0079,0.001,-0.0098,-0.006,0.0,0.0,6644.5774,6115.7508,1.0011
beta_s_med,0.2275,0.0716,0.0926,0.3629,0.0008,0.0007,8039.0428,6788.1456,1.0009
beta_s_lrg,1.1971,0.0608,1.0779,1.3101,0.0007,0.0006,6915.567,6235.9333,0.9999
ASC_A,1.2326,0.1157,1.0173,1.4516,0.0015,0.0011,5592.9475,6285.1795,0.9999
ASC_B,0.9792,0.1148,0.7597,1.1928,0.0015,0.0011,5640.5754,6060.2322,0.9997
gamma[0],0.0294,0.0774,-0.1168,0.1747,0.0007,0.0009,11120.2203,6324.959,0.9997
gamma[1],0.2993,0.0683,0.1743,0.4301,0.0007,0.0008,10547.8556,6274.8236,1.0002
gamma[2],-0.2285,0.0726,-0.3665,-0.0909,0.0008,0.0008,9313.5532,5920.4477,1.0
gamma[3],0.1319,0.0742,-0.0077,0.2685,0.0007,0.0008,9996.4045,6900.1611,1.0007
delta_cv[0],0.2558,0.0611,0.1386,0.3662,0.0007,0.0006,8328.636,6720.1284,1.0008
delta_cv[1],0.1924,0.0661,0.0698,0.3165,0.0008,0.0007,6229.192,6022.7331,1.0005
delta_cv[2],0.1536,0.0321,0.0891,0.2099,0.0003,0.0003,8595.2652,6584.5134,1.0003
delta_cv[3],0.013,0.0337,-0.0516,0.076,0.0004,0.0004,8942.2379,6225.3136,0.9998
delta_cv[4],-0.0123,0.0426,-0.0943,0.0649,0.0005,0.0005,8217.4089,5688.0046,1.0001
alpha_cat[0],0.0812,0.1458,-0.1892,0.3582,0.0015,0.0017,9688.8473,6033.0978,1.0002
alpha_cat[1],-0.6827,0.1732,-1.0107,-0.3629,0.0018,0.002,9821.5528,6470.0886,1.0001
alpha_cat[2],-0.6712,0.2012,-1.045,-0.2915,0.0021,0.0023,9137.6568,6134.3537,1.0
alpha_cat[3],-2.5556,0.0937,-2.7249,-2.3702,0.0011,0.0009,7859.2116,6449.1243,1.0003
phi_od,0.3931,0.0163,0.3622,0.4233,0.0002,0.0002,10220.2461,6224.1071,1.0
